Title,member-company,phone-number,e-mail,address,member-home-type,member-design-style,member-preferred-budget,member-short-detail,member-accreditation,Date,"Post Type",Permalink,"Image URL","Image Title","Image Featured"
"Onederful Konstruction","Onederful Konstruction Pte Ltd","'+65 9457 4788",onederfulkonstruction@gmail.com,"6D Mandai Estate, #03-13 M-Space, Singapore 729938","HDB (BTO)",Asian,30001-50000,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs x126k92a"">
<div dir=""auto"">Onederful Konstruction Pte Ltd is a registered company with the Building and Construction Authority (BCA) for General Builder, Interior Decoration and finishing works, building construction and renovation works which has been in operation since 2010.</p>
<p>We have undertaken numerous challenging projects over the years and attained the relevant skills, experiences, and knowledge in design and building solutions, project management services and associated engineering tasks in the challenging business climate.</p>
<p>We make a serious effort to provide our clients with the most affordable budget possible, but quality is a priority, and it is a tremendous challenge that we take pride in.</p></div>
</div>
<div class=""x11i5rnm xat24cr x1mh8g0r x1vvkbs xtlvy1s x126k92a"">
<div dir=""auto"">
We are committed to provide our clients/customers with the best services, knowledge and are continually searching for areas of improvement and continuity in the construction business.</div>
</div>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:4:""true"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-04-07,member-list,https://renoresearch.sg/member-list/onederful-konstruction/,https://renoresearch.sg/wp-content/uploads/2025/04/Onederful-Konstruction.png,"Onederful Konstruction",https://renoresearch.sg/wp-content/uploads/2025/04/Onederful-Konstruction.png
"I-Max Design","I-Max Design","'+65 9183 9939",imaxdesign15@gmail.com,"Blk 482 Tampines st 43 #01-234 520482","HDB (BTO)",Asian,30001-50000,"<p>I-Max Design was established in 2014 with a humble team of three, but has since blossomed into a dynamic ensemble of over twenty skilled designers and support professionals. Our journey is marked by a steadfast commitment to excellence, evident in our meticulous attention to detail and our unwavering passion for crafting spaces that ignite inspiration.</p>
<p>With a fusion of creativity and precision, our team endeavors to redefine the boundaries of design, pushing the envelope to deliver solutions that transcend expectations. Whether entrusted with a comprehensive overhaul or a subtle transformation, we approach each project with a singular goal: to encapsulate the essence of our clients’ personalities and aspirations while ensuring functionality and pragmatism.</p>
<p>At I-Max Design, we don’t just renovate spaces; we breathe new life into them, infusing every corner with innovation and artistry. Our dedication to surpassing client satisfaction is not just a commitment—it’s our ethos.</p>
<p>Welcome to the epitome of renovation excellence, welcome to I-Max Design, your premier choice for transformative design experiences in Singapore.</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:4:""true"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-04-11,member-list,https://renoresearch.sg/member-list/i-max-design/,https://renoresearch.sg/wp-content/uploads/2025/04/I-MAX-Design-Logo.jpg,"I-MAX Design Logo",https://renoresearch.sg/wp-content/uploads/2025/04/I-MAX-Design-Logo.jpg
"StyleWorkz Interior","StyleWorkz Interior","'+65 8853 8759",styleworkz.enquiry@gmail.com,"23 Tannery Lane #02-00 Singapore 347785","HDB (BTO)",Asian,30001-50000,"<p>Step into the world of Styleworkz Interior where style meets functionality effortlessly. Experience the perfect blend of aesthetics and practicality with us at Styleworkz Interior.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-04-15,member-list,https://renoresearch.sg/member-list/styleworkz-interior/,https://renoresearch.sg/wp-content/uploads/2025/04/StyleWorkz-Interior-Logo.jpg,"StyleWorkz Interior Logo",https://renoresearch.sg/wp-content/uploads/2025/04/StyleWorkz-Interior-Logo.jpg
"Interiors By Explore Living Pte Ltd","Interiors By Explore Living Pte Ltd","'+65 9731 1556",admin@exploreliving.com.sg,"25 Kaki Bukit Road 4, #07-55, Synergy @ KB  S(417800)","HDB (BTO)",Asian,30001-50000,"<nav class=""nav"">
<div class=""container nav"">
<div>Explore Possibilities Living Above Expectations</div>
<div></div>
<div class=""nav_wrapper"">Every successful project requires the contribution and exchange of ideas between all parties involved.</div>
</div>
</nav>
<section class=""s_about-hero"">
<div class=""container"">
<div class=""about-hero_text-wrapper"">
<div class=""hide-overflow"">
<div class=""home-about-_rich-text w-richtext"">
<p>Interiors by Explore Living consistently explores new possibilities in creating a unique living space for each individual. Our team of dedicated designers refrain from replicating past works. Owners can expect their home to be tailored according to their personality, providing a unique charm they can claim is their own.</p>
<p>Live beyond restrictions, Explore the potential of your home with us!</p>
</div>
</div>
</div>
</div>
</section>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-04-15,member-list,https://renoresearch.sg/member-list/interiors-by-explore-living-pte-ltd/,https://renoresearch.sg/wp-content/uploads/2025/04/Interiors-by-Explore-Living-Logo-1.png|https://renoresearch.sg/wp-content/uploads/2025/04/Interiors-By-Explore-Living-Logo.png,"Interiors by Explore Living Logo|Interiors By Explore Living Logo",https://renoresearch.sg/wp-content/uploads/2025/04/Interiors-by-Explore-Living-Logo-1.png
"2J INTERIORS'","2J INTERIORS' (S) PTE LTD","'+65 9680 7893",jjlim.2jinterior@gmail.com,"157 Sims Ave, Singapore 387479","HDB (BTO)",Asian,30001-50000,"<p>Our team of expert designers brings passion, creativity and attention to detail to every project, delivering tailored solutions that exceed your expectations. Certified by BizSafe Level 3.</p>
<p>- 𝓓𝓮𝓼𝓲𝓰𝓷𝓲𝓷𝓰 𝓨𝓸𝓾𝓻 𝓢𝓽𝓸𝓻𝔂 -</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:4:""true"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-04-16,member-list,https://renoresearch.sg/member-list/2j-interior/,https://renoresearch.sg/wp-content/uploads/2025/04/LATEST-2J-Interior-Logo.png|https://renoresearch.sg/wp-content/uploads/2025/04/2J.Interior-Logo.jpg|https://renoresearch.sg/wp-content/uploads/2025/04/2J-Interior.png,"[LATEST] 2J Interior Logo|2J.Interior Logo|2J Interior",https://renoresearch.sg/wp-content/uploads/2025/04/LATEST-2J-Interior-Logo.png
"The Trio Design Studio","The Trio Design Studio","'+65 8161 0342",enquiry@thetriodesign.com.sg,"31 Woodlands Cl, #03-30, Singapore 737855","HDB (BTO)",Asian,30001-50000,"<p>""TRANSFORMING SPACES, ENHANCING LIVES.""<br />
Trio Design is an Singapore-based interior design firm that specializes in creating personalized and functional spaces. With a team of experienced designers, they offer full interior design services and a commitment to exceptional customer service.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:4:""true"";s:7:""BizSAFE"";s:4:""true"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-04-24,member-list,https://renoresearch.sg/member-list/the-trio-design-studio/,https://renoresearch.sg/wp-content/uploads/2025/04/The-Trio-Design-Studio-Logo.png,"The Trio Design Studio Logo",https://renoresearch.sg/wp-content/uploads/2025/04/The-Trio-Design-Studio-Logo.png
"ArtMuse Interior","ArtMuse Interior Pte Ltd","'+65 9001 6511",yong@artmuseinterior.com,"3 Townshend Road #03-00 Singapore 207601","HDB (BTO)",Asian,30001-50000,"<p>ARTMUSE is an experienced interior design studio based in singapore led by Owner &amp; Creative Director, T.V Yong . Yong has extensive design experience working across a range of projects including residential renovations and new builds, commercial and Interior styling over 20 years.</p>
<p>We are passionate about the power of design and the way it enriches lives. That’s why we use evidence-based design solutions to create bespoke, functional spaces that stand the test of time.</p>
<p>As a boutique studio we are flexible and can respond to your needs quickly and efficiently without the constraints experienced by larger design firms. When you work with us, you will only work with professional, qualified Interior Designers. We will guide you throughout your project: it is our job to ensure your vision is brought to life.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-04-24,member-list,https://renoresearch.sg/member-list/artmuse-interior/,https://renoresearch.sg/wp-content/uploads/2025/04/ArtMuse-Interior-Logo.jpg,"ArtMuse Interior Logo",https://renoresearch.sg/wp-content/uploads/2025/04/ArtMuse-Interior-Logo.jpg
"Small Renovation Management","Small Renovation Management Pte Ltd","'+65 9646 4934",propertypetersg@gmail.com,"1 North Bridge Road, #18-03, High Street Centre, Singapore 179094","HDB (BTO)",Asian,30001-50000,"<p>Building Dreams, Transforming Spaces</p>
<p>In Small Renovation Management, we focus on small renovation jobs, which we are confident we can complete on time. We also provide clients who use our renovation packages with a sales consultant and a support officer's number so clients have peace of mind if they cannot contact their sales consultant. We are dedicated to providing a reliable tiling service for residential housing.</p>
<p>We eliminate common renovation setbacks—hidden costs, disorganized contractors, and delays.</p>
<p>We ensure transparent pricing, efficient project management, and guaranteed on-time completion. Our in-house carpentry cuts out middleman costs, while our expertise in custom furniture maximizes every inch of your space.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-04-24,member-list,https://renoresearch.sg/member-list/small-renovation-management/,https://renoresearch.sg/wp-content/uploads/2025/04/Small-Renovation-Management-Logo.png,"Small Renovation Management Logo",https://renoresearch.sg/wp-content/uploads/2025/04/Small-Renovation-Management-Logo.png
"Carpenters By Habitat","Carpenters By Habitat","'+65 9147 5990",sales@habitatinterior.com,"53 Chin Swee Rd, #02-05, Singapore 160053","HDB (BTO)",Asian,30001-50000,"<p>Carpenters by Habitat, an interior design company that strive towards delivering world class services and total image development for our clients. We place quality workmanship and state-of-the-art design as top priorities.</p>
<p>With our strong experience based on more than a decade of business and creative commitment, we believe that the success and realization of a project is based not only on proficiency but also with the skills and experience of a dynamic team of professionals. Habitat works closely with its team of associates in keeping with its client’s vision, needs and budget.</p>
<p>Not only do we understand the needs and demands of our clients, we create an environment that optimizes and complements their objectives and goals.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-04-24,member-list,https://renoresearch.sg/member-list/carpenters-by-habitat/,https://renoresearch.sg/wp-content/uploads/2025/04/Carpenters-By-Habitat-logo.jpg,"Carpenters By Habitat logo",https://renoresearch.sg/wp-content/uploads/2025/04/Carpenters-By-Habitat-logo.jpg
"Interior Times","Interior Times (Kings') Pte Ltd","'+65 8366 0366",king.interiortimes@gmail.com,"7 Gambas Crescent #01-23 Ark@Gambas Singapore 757087","HDB (BTO)",Asian,30001-50000,"<p>With years of industry expertise, Interior Times has earned a stellar reputation as one of Singapore’s most reliable interior design firms. Our approach is client-centric—we take the time to understand your lifestyle, needs, and aspirations before curating a design that perfectly fits your space and personality. We’re passionate about delivering not just aesthetically pleasing interiors but functional environments that enhance your everyday experience.</p>
<p>From the moment you engage us, we guide you through every stage of the design process—from consultation and conceptualization to project execution and final delivery. We know that every client is unique, and so is every space. Whether it’s a budget-conscious home renovation or a high-end luxury project, our goal is to tailor a solution that reflects your distinct taste and meets your needs.</p>
<p>We believe that great design shouldn’t come with an exorbitant price tag. At Interior Times, we’re proud to offer high-quality interior design services at competitive prices, ensuring that your dream space is both stunning and affordable. Our transparent pricing, free consultations, and customized solutions ensure that no matter your budget, you’ll receive the best value for your investment.</p>
<p>Over the years, we’ve partnered with countless satisfied clients across a wide range of projects, from high-end residential developments to commercial spaces. Our attention to detail, commitment to quality, and transparent project management process have made us a trusted name in the Singapore interior design industry. Many of our projects are showcased in our portfolio, where you can see firsthand the dedication we bring to every project we undertake.</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:4:""true"";s:7:""BizSAFE"";s:4:""true"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-04-25,member-list,https://renoresearch.sg/member-list/interior-times-kings/,https://renoresearch.sg/wp-content/uploads/2025/04/Interior-Times-Kings-Logo.jpg,"Interior Times (Kings') Logo",https://renoresearch.sg/wp-content/uploads/2025/04/Interior-Times-Kings-Logo.jpg
"AI Design Collection","AI Design Collection Pte Ltd","'+65 8498 4988",enquiry@aidesign.sg,"6 Kim Keat Lane #01-06, Singapore 328863","HDB (BTO)",Asian,30001-50000,"<p>Ai Design Collection is a company that provides expertise in Interior Design Consultancy, Carpentry Service &amp; Construction Service.</p>
<p>The Team is led by Alan Ong, Creator of the Company. He is an all rounder who is equipped with comprehensive expertise including cost, modeling, benchmarking, budget definition, cost management, value management / engineering and procurement support.</p>
<p>Our Designers have years of experience and successful projects under their care. They shares the key concept of success by providing the best professional services to customers.</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-05-07,member-list,https://renoresearch.sg/member-list/ai-design-collection/,https://renoresearch.sg/wp-content/uploads/2025/05/Ai-Design-Collection-Pte-Ltd.-Logo.png,"Ai Design Collection Pte Ltd. Logo",https://renoresearch.sg/wp-content/uploads/2025/05/Ai-Design-Collection-Pte-Ltd.-Logo.png
"Vinstyle Studio","Vinstyle Studio Pte Ltd","'+65 9656 1498",vinteriorsg@gmail.com,"50, Gambas Crescent, #10-13A, Proxima@Gambas 757022","HDB (BTO)",Asian,30001-50000,"<p>Interior Design Studio</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-05-16,member-list,https://renoresearch.sg/member-list/vinstyle-studio/,https://renoresearch.sg/wp-content/uploads/2025/05/Vinstyle-Studio.png,"Vinstyle Studio",https://renoresearch.sg/wp-content/uploads/2025/05/Vinstyle-Studio.png
"Xtreme Living Interior","Xtreme Living Interior","'+65 8268 6541",gavin@xtremelivinginterior.sg,"12 Woodland Square #05-76, Woods Square Tower 1, Singapore 737715","HDB (BTO)",Asian,30001-50000,"<p>Xtreme Living Interior is a Singapore-based Interior Design Company known for its simple, elegant and functional designs. We combine simplicity and experienced craftsmanship, to elevate any space while maintaining an inviting atmosphere.</p>
<p>If you are looking for Interior Designers who are customer service oriented, patient and transparent about the entire process then contact us to learn how we can bring your design dreams to life.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-05-16,member-list,https://renoresearch.sg/member-list/xtreme-living-interior/,https://renoresearch.sg/wp-content/uploads/2025/05/Xtreme-Living-Interior-Logo.jpg,"Xtreme Living Interior Logo",https://renoresearch.sg/wp-content/uploads/2025/05/Xtreme-Living-Interior-Logo.jpg
"Aura Design &amp; Co.","Aura Design &amp; Co. Pte. Ltd.","'+65 8687 4882",info@auradesignandco.com,"6 Gambas Way, #02-06 Liang Wood Interior Renovation, Singapore 756939","HDB (BTO)",Asian,30001-50000,"<p class="""">With over a decade of combined renovation expertise, two seasoned professionals now collaborate closely to craft exceptional spaces tailored to our clients' needs.</p>
<p class="""">Welcome to our premier interior design studio, where innovation and excellence converge in every thoughtfully curated detail. Explore a range of sophisticated solutions designed to transform your office, restaurant or commercial space into a refined reflection of your unique style and vision.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-05-16,member-list,https://renoresearch.sg/member-list/aura-design-co/,https://renoresearch.sg/wp-content/uploads/2025/05/Aura-Design-Co.-Logo.jpg,"Aura Design & Co. Logo",https://renoresearch.sg/wp-content/uploads/2025/05/Aura-Design-Co.-Logo.jpg
"Renologist Interior Design","Renologist Pte Ltd","'+65 8805 7741",info@renologist.sg,"101 LORONG 23 GEYLANG #01-01 PROSPER HOUSE SINGAPORE (388399)","HDB (BTO)",Asian,30001-50000,"<p>Every great design begins with an even better story.</p>
<p>Established in 2018, Renologist is a collaborative venture by a group of like-minded individuals across industries who share a profound passion for design. Renologist was born from the idea that combining varied expertise could lead to a holistic and innovative approach to interior design.</p>
<p>Our name, derived from the blend of 'reno' (for renovation) and 'ologist' (indicating expertise), reflects our commitment to being experts in the art and science of transforming spaces.</p>
<p>We believe in designing from our hearts, channeling our shared passion into every project. Our goal is to transform spaces into captivating living experiences, leaving an indelible mark on homes and businesses alike.</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:4:""true"";s:9:""CaseTrust"";s:4:""true"";s:7:""BizSAFE"";s:4:""true"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-05-26,member-list,https://renoresearch.sg/member-list/renologist-interior-design/,https://renoresearch.sg/wp-content/uploads/2025/05/Renologist-Logo.jpg,"Renologist Logo",https://renoresearch.sg/wp-content/uploads/2025/05/Renologist-Logo.jpg
"Acclaim Interior Design","Acclaim Interior Design Pte Ltd","'+65 8822 7771",acclaiminteriordesign@gmail.com,"101 Woodlands Ave 12, #05-28 Polaris@Woodlands, Singapore 737719","HDB (BTO)",Asian,30001-50000,"<p>At Acclaim Interior Design Pte Ltd, we are your one-stop renovation contractors for your residential or commercial space. Working with us, we are focused on achieving your renovation goals and making your ideal dream home or office space a reality.</p>
<p>Our Commitment- We are 100% committed to delivering inspired designs that fulfill client expectations through collaboration and Exceptional Service! Many of our clients asked us to work on several projects as once they hire us, they seem to want to do it again with Acclaim Interior Design Pte Ltd!</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:4:""true"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-07-01,member-list,https://renoresearch.sg/member-list/acclaim-interior-design/,https://renoresearch.sg/wp-content/uploads/2025/07/Acclaim-Interior-Design-Logo.png,"Acclaim Interior Design Logo",https://renoresearch.sg/wp-content/uploads/2025/07/Acclaim-Interior-Design-Logo.png
HSquare,"HSquare Pte Ltd","'+65 9183 8890",hsquarepteltd@gmail.com,"Woodlands Circle Singapore 730745","HDB (BTO)",Asian,30001-50000,"<p class=""text-gray-900"">MANUFACTURE OF FURNITURE AND FIXTURES OF WOOD (INCLUDING UPHOLSTERY).</p>
<p class=""text-gray-900"">The company secondary activity is RENOVATION CONTRACTORS.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-07-10,member-list,https://renoresearch.sg/member-list/hsquare/,https://renoresearch.sg/wp-content/uploads/2025/07/HSquare-Logo.png,"HSquare Logo",https://renoresearch.sg/wp-content/uploads/2025/07/HSquare-Logo.png
"Star Construction","Star Construction","'+65 8333 2205",star-construction@hotmail.com,"56 Dunlop Street, Singapore 209386 | 18 Senang Cres, Singapore 416591","HDB (BTO)",Asian,30001-50000,"<p>Electrical works and renovation contractors.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-07-10,member-list,https://renoresearch.sg/member-list/star-construction/,https://renoresearch.sg/wp-content/uploads/2025/07/Star-Construction-Logo.png,"Star Construction Logo",https://renoresearch.sg/wp-content/uploads/2025/07/Star-Construction-Logo.png
"Studio KYN","Studio KYN","'+65 9336 2020",helloo.kyn@gmail.com,"25 Kaki Bukit Rd 4, #06-62, Singapore 417800","HDB (BTO)",Asian,30001-50000,"<p>Interior Design services in Singapore.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-07-10,member-list,https://renoresearch.sg/member-list/studio-kyn/,https://renoresearch.sg/wp-content/uploads/2025/07/Studio-KYN-Logo.png,"Studio KYN Logo",https://renoresearch.sg/wp-content/uploads/2025/07/Studio-KYN-Logo.png
"10 Studio SG","10 Studio Pte. Ltd.","'+65 9770 9134",projects@10studiosg.com,"Punggol Edgefield Plains Blk 112 #16-380, Singapore 820112","HDB (BTO)",Asian,30001-50000,"<p class=""font_7 wixui-rich-text__text""><span class=""wixui-rich-text__text"">At 10 Studio, we believe that art has the power to transcend boundaries and evoke profound emotions. Our team is driven by an unyielding passion for the world of art and we aim to be the catalyst for awe-inspiring visual experiences. We strive to infuse creativity, passion and precision into every project, leaving a lasting impression on both the beholder and creator. Join us in the journey of artistic exploration and let 10-Studio be the brushstroke that brings your creative ideas to life.</span></p>
<p class=""font_7 wixui-rich-text__text""><span class=""wixui-rich-text__text"">We design &amp; build for all types of interiors such as HDB resale, HDB BTO, condominiums, landed property and also retail &amp; corporate.</span></p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-07-10,member-list,https://renoresearch.sg/member-list/10-studio-sg/,https://renoresearch.sg/wp-content/uploads/2025/07/10-Studio-SG-Logo.png,"10 Studio SG Logo",https://renoresearch.sg/wp-content/uploads/2025/07/10-Studio-SG-Logo.png
"D'Designers Industries","D'Designers Industries Pte Ltd","'+65 9662 1634",rick.2011@hotmail.com,"3 gambas crescent nordcom one #10-05, Singapore 757088","HDB (BTO)",Asian,30001-50000,"<p>Design and build ups all starts with a vision, let our team make it into a reality, into a masterpiece, into a space that truly defines who you really are!</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-07-10,member-list,https://renoresearch.sg/member-list/ddesigners-industries/,https://renoresearch.sg/wp-content/uploads/2025/07/DDesigners-Industries-Logo.png,"D'Designers Industries Logo",https://renoresearch.sg/wp-content/uploads/2025/07/DDesigners-Industries-Logo.png
"Dream Home Concepts","Dream Home Concepts Pte Ltd","'+65 8725 9001",dreamhomeconcepts88@gmail.com,"Blk 748 Yishun St 72 #01-216, Singapore 760748","HDB (BTO)",Asian,30001-50000,"<p>Dream Home Concepts, located in the heart of Yishun with of a small team of 4 people. We knew the need in this niche for a reliable interior design agency that would provide interior design, space planning, building and project management with professional commitment to contribute to the success of a well designed home.</p>
<p>In whatever services we provide our clients, our commitment holds true, which is to identify and develop the most ideal use of space for individual home owner and to develop a visual, functional ambience that reflects each person’s tastes and values.</p>
<p>OUR MISSION<br />
Dream Home Concepts is inspired and motivated to provide our clients with a complete package of services from design conception to completion.</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:4:""true"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-07-10,member-list,https://renoresearch.sg/member-list/dream-home-concepts/,https://renoresearch.sg/wp-content/uploads/2025/07/Dream-Home-Concepts-Logo.png,"Dream Home Concepts Logo",https://renoresearch.sg/wp-content/uploads/2025/07/Dream-Home-Concepts-Logo.png
"Commcepts Design","Commcepts Design Pte Ltd","'+65 9763 4922",hello@commceptsdesign.com,"12 Opal Crescent, Singapore 328407","HDB (BTO)",Asian,30001-50000,"<p>We're a fresh interior design startup turning everyday spaces into stylish, functional reflections of you. With a mix of creativity, modern trends and a personal touch, we design spaces that feel as good as they look.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-07-10,member-list,https://renoresearch.sg/member-list/commcepts-design/,https://renoresearch.sg/wp-content/uploads/2025/07/Commcepts-Design-Logo.png,"Commcepts Design Logo",https://renoresearch.sg/wp-content/uploads/2025/07/Commcepts-Design-Logo.png
"Woodview Renovation","Woodview Renovation Pte Ltd","'+65 8472 9919",enquiry.woodviewrenovation@gmail.com,"61 Industrial Park A #05-06, Singapore 768767","HDB (BTO)",Asian,30001-50000,"<p>Woodview Renovation is a trusted carpentry company based in Singapore, bringing over 30 years of craftsmanship and expertise to every project. We pride ourselves on delivering quality, custom-made solutions tailored to your needs!</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-07-10,member-list,https://renoresearch.sg/member-list/woodview-renovation/,https://renoresearch.sg/wp-content/uploads/2025/07/Woodview-Renovation-Logo.png,"Woodview Renovation Logo",https://renoresearch.sg/wp-content/uploads/2025/07/Woodview-Renovation-Logo.png
"Interior Station","Interior Station Private Limited","'+65 8818 5533",evantjongjr@gmail.com,"Blk 3 Ang Mo Kio Industrial Park 2A #02-10, Singapore 568049","HDB (BTO)",Asian,30001-50000,"<p>Alight at this station for the perfect makeover!</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-07-10,member-list,https://renoresearch.sg/member-list/interior-station/,https://renoresearch.sg/wp-content/uploads/2025/07/Interior-Station-Logo.png,"Interior Station Logo",https://renoresearch.sg/wp-content/uploads/2025/07/Interior-Station-Logo.png
"Zen Interior Studio","Zen Interior Studio Pte Ltd","'+65 9627 3837",sale@zeninteriorstudio.com,"Blk 663 Yishun Ave 4 #12-213, Singapore 760663","HDB (BTO)",Asian,30001-50000,"<p>Zen Interior Studio Pte Ltd provides quality workmanship at reasonable pricing.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-07-10,member-list,https://renoresearch.sg/member-list/zen-interior-studio/,https://renoresearch.sg/wp-content/uploads/2025/07/Zen-Interior-Studio-Logo.png,"Zen Interior Studio Logo",https://renoresearch.sg/wp-content/uploads/2025/07/Zen-Interior-Studio-Logo.png
